,lottery,date_occured,ball_01,ball_02,ball_03,ball_04,ball_05,ball_06,
485,1736.0,2015-08-26,13,32,12,41,24,29,
486,1735.0,2015-08-22,46,16,33,45,34,6,
487,1734.0,2015-08-19,52,29,17,41,12,25,
488,1733.0,2015-08-15,5,9,41,14,3,46,
489,1732.0,2015-08-12,25,60,34,53,45,38,
490,1731.0,2015-08-08,59,49,43,5,27,18,
491,1730.0,2015-08-06,1,24,10,17,42,51,
492,1729.0,2015-08-04,53,14,44,7,23,43,
493,1728.0,2015-08-01,28,39,8,59,42,3,
494,1727.0,2015-07-29,4,6,41,40,19,20,
495,1726.0,2015-07-25,42,54,57,3,49,10,
496,1725.0,2015-07-22,26,31,30,18,16,34,
497,1724.0,2015-07-18,27,39,37,58,60,33,
498,1723.0,2015-07-15,27,60,30,14,46,52,
499,1722.0,2015-07-11,41,39,9,49,23,58,
500,1721.0,2015-07-09,12,33,4,38,36,19,
501,1720.0,2015-07-07,49,39,18,31,57,23,
502,1719.0,2015-07-04,44,22,31,54,34,1,
503,1718.0,2015-07-01,30,53,4,31,47,32,
504,1717.0,2015-06-27,9,58,16,44,2,37,
505,1716.0,2015-06-24,25,36,2,53,42,41,
506,1715.0,2015-06-20,20,16,35,40,60,53,
507,1714.0,2015-06-17,51,2,24,52,36,8,
508,1713.0,2015-06-13,3,29,10,16,23,27,
509,1712.0,2015-06-10,50,19,59,2,29,12,
510,1711.0,2015-06-06,38,22,50,45,26,39,
511,1710.0,2015-06-03,59,56,7,28,21,58,
